seq_idx,activity,cos_dist_from_wt,source
0,45.12123,4.417144757851155e-05,WT
1,44.53132,0.000692895096968793,eQTL_LCL
2,45.590958,0.00021786066153306471,eQTL_LCL
3,44.61737,0.0003309332707883694,eQTL_LCL
4,45.12123,4.4171476347720784e-05,eQTL_LCL
5,45.12123,4.4171475440224484e-05,eQTL_LCL
6,45.12123,4.417147831481394e-05,eQTL_LCL
7,42.12134,0.005348608406188449,random_mutagenesis
8,45.646065,0.001648149082274064,random_mutagenesis
9,45.2267,0.000717273031330401,random_mutagenesis
10,23.9492,0.28586472035384347,random_mutagenesis
11,45.96458,0.0016770427877795813,random_mutagenesis
12,40.930824,0.03003403877176658,random_mutagenesis
13,44.024155,0.00696896194584673,random_mutagenesis
14,42.587036,0.004976544981501796,random_mutagenesis
15,49.12991,0.01097535839677044,random_mutagenesis
16,42.774387,0.007806688508822934,random_mutagenesis
17,43.75507,0.03023378679505817,random_mutagenesis
18,43.674812,0.003823182945767889,random_mutagenesis
19,41.47924,0.02464116294515739,random_mutagenesis
20,30.24578,0.31725027169737485,random_mutagenesis
21,24.210213,0.23916934587356808,random_mutagenesis
22,51.038986,0.010271900967726455,random_mutagenesis
23,42.852512,0.004385310435006007,random_mutagenesis
24,41.592728,0.0016010654872122831,random_mutagenesis
25,34.95085,0.0789859270623332,random_mutagenesis
26,42.71022,0.003779540786788993,random_mutagenesis
27,42.044144,0.020044994055054555,random_mutagenesis
28,46.076675,0.006026409685492173,random_mutagenesis
29,39.42326,0.011311139362462641,random_mutagenesis
30,43.19763,0.006277320538942144,random_mutagenesis
31,25.5481,0.12953970538445836,random_mutagenesis
32,45.112984,0.0018334565827413662,random_mutagenesis
33,44.818516,0.0005522531263744135,random_mutagenesis
34,44.5041,0.01264884351688944,random_mutagenesis
35,44.01313,0.0010328862346076217,random_mutagenesis
36,41.14034,0.017756287529955173,random_mutagenesis
37,42.647564,0.0116364579917142,random_mutagenesis
38,32.832268,0.1120984898219185,random_mutagenesis
39,45.049297,4.304035023994235e-05,random_mutagenesis
40,45.109238,0.012751197446944418,random_mutagenesis
41,41.748055,0.008891486981832064,random_mutagenesis
42,43.75645,0.0009443895411120895,random_mutagenesis
43,45.08302,0.0009621443429652654,random_mutagenesis
44,43.397373,0.005293315082336769,random_mutagenesis
45,43.29169,0.0017949831127966887,random_mutagenesis
46,44.00109,0.00385965444931613,random_mutagenesis
47,41.585575,0.011061018058430183,random_mutagenesis
48,46.19244,0.012802521804934575,random_mutagenesis
49,41.332283,0.013974987473812539,random_mutagenesis
50,43.997696,0.0025987742167331573,random_mutagenesis
51,48.16839,0.002901052191553455,random_mutagenesis
52,30.366346,0.27277119117896453,random_mutagenesis
53,24.886469,0.17225673443113387,random_mutagenesis
54,47.493828,0.011487566462619725,random_mutagenesis
55,46.49465,0.025707105423952048,random_mutagenesis
56,45.479816,0.00242430445223063,random_mutagenesis
57,40.74756,0.00938198152648373,random_mutagenesis
58,45.51344,0.0019805443134508494,random_mutagenesis
59,44.332222,0.001803192853408131,random_mutagenesis
60,41.27405,0.027786885465729716,random_mutagenesis
61,54.73848,0.028189543170854536,random_mutagenesis
62,40.58804,0.019830204481476432,random_mutagenesis
63,42.318874,0.01564219830524216,random_mutagenesis
64,34.334908,0.01890337253108554,random_mutagenesis
65,33.984047,0.10838040831827422,random_mutagenesis
66,45.128036,0.0006687934905234005,random_mutagenesis
67,22.73664,0.20930406070373797,random_mutagenesis
68,47.773113,0.0014194619724112734,random_mutagenesis
69,44.63537,0.0016723380152219303,random_mutagenesis
70,48.436565,0.005551153965830502,random_mutagenesis
71,47.463093,0.0028099701084912665,random_mutagenesis
72,52.4879,0.013348393168230555,random_mutagenesis
73,41.538803,0.005771466958903293,random_mutagenesis
74,47.496986,0.002489314059807346,random_mutagenesis
75,48.461563,0.010871096535794877,random_mutagenesis
76,43.54501,0.0017450935800729095,random_mutagenesis
77,48.107346,0.008213792686119104,random_mutagenesis
78,33.011814,0.09066650865044779,random_mutagenesis
79,45.932686,0.0008351561053266954,random_mutagenesis
80,42.10539,0.005978972037596786,random_mutagenesis
81,45.904488,0.007537776180575273,random_mutagenesis
82,45.23478,0.004911974068311231,random_mutagenesis
83,40.665943,0.008661115604882141,random_mutagenesis
84,45.69422,0.0018290108985961062,random_mutagenesis
85,31.096653,0.11021766702713276,random_mutagenesis
86,46.302177,0.007731307243381114,random_mutagenesis
87,44.096333,0.0012584315957913095,random_mutagenesis
88,41.30962,0.009287837089094975,random_mutagenesis
89,43.17727,0.008591408459502237,random_mutagenesis
90,44.18729,0.001479328436680194,random_mutagenesis
91,46.201828,0.010066529844293903,random_mutagenesis
92,46.49651,0.010789368918969977,random_mutagenesis
93,43.93002,0.001667783846415749,random_mutagenesis
94,43.833088,0.002259368015415264,random_mutagenesis
95,40.67894,0.002237652321673056,random_mutagenesis
96,40.567173,0.018405997114875117,random_mutagenesis
97,43.019424,0.0032574349889210596,random_mutagenesis
98,46.77697,0.004182715954633931,random_mutagenesis
99,46.75622,0.0018885325120302499,random_mutagenesis
100,45.144547,0.0060880844654027655,random_mutagenesis
101,45.261658,0.0002180802191389386,random_mutagenesis
102,30.998304,0.1017317216508945,random_mutagenesis
103,47.036892,0.008522361722087757,random_mutagenesis
104,45.71466,0.0010411054498242756,random_mutagenesis
105,46.127712,0.0005905166595352451,random_mutagenesis
106,46.47305,0.005389350269390691,random_mutagenesis
107,47.52336,0.0025241798902760904,random_mutagenesis
108,15.951815,0.5914662292591868,random_mutagenesis
109,45.014816,0.0005662793759227958,random_mutagenesis
110,33.056137,0.06896656043753491,random_mutagenesis
111,43.693253,0.0007484753678015377,random_mutagenesis
112,44.880173,0.00017644542768868732,random_mutagenesis
113,48.97209,0.021323024504830146,random_mutagenesis
114,26.72778,0.12349227952885566,random_mutagenesis
115,39.84444,0.020573793225749704,random_mutagenesis
116,45.676212,0.000836552108723132,random_mutagenesis
117,56.546753,0.03910445344698665,random_mutagenesis
118,39.53726,0.010067526957386441,random_mutagenesis
119,21.976086,0.3469365903019974,random_mutagenesis
120,48.208767,0.01816536529570878,random_mutagenesis
121,37.93539,0.03827559542141712,random_mutagenesis
122,32.678055,0.02749036836996821,random_mutagenesis
123,38.98427,0.008906718248721357,random_mutagenesis
124,48.888264,0.0046989225850536664,random_mutagenesis
125,40.964233,0.018419519178986654,random_mutagenesis
126,41.253952,0.007796863604532467,random_mutagenesis
127,36.684307,0.011556085362081858,random_mutagenesis
128,44.185905,0.005166846075915554,random_mutagenesis
129,47.614643,0.0034910577504446705,random_mutagenesis
